Rank,Name,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
1001,Moscow Aviation Institute,Russian Federation,10.7–22.1,24.1,11.7,3.0,64.6,23.5,6,275006,151759
1001,Moscow Power Engineering Institute,Russian Federation,10.7–22.1,18.7,10.7,5.8,56.5,27.4,2,123234,123234
1001,University of Mumbai,India,10.7–22.1,31.1,10.2,17.2,35.0,17.6,10,55174,46879
1001,University of Mysore,India,10.7–22.1,31.3,8.2,8.4,34.8,30.6,3,412660,66119
1001,National Chung Hsing University,Taiwan,10.7–22.1,20.8,16.5,19.0,47.1,24.2,2,462457,462457
1001,National University of Colombia,Colombia,10.7–22.1,19.0,14.5,26.1,35.4,35.7,12,185775,136174
1001,National University of Córdoba,Argentina,10.7–22.1,20.6,9.2,21.2,35.1,34.3,1,29440,29440
1001,National University of Cuyo,Argentina,10.7–22.1,18.0,7.1,25.7,34.4,37.2,2,133060,133060
1001,National Taipei University,Taiwan,10.7–22.1,19.5,14.9,25.3,35.8,25.1,3,461328,446408
1001,National Taiwan Ocean University,Taiwan,10.7–22.1,18.5,21.5,17.1,52.8,29.9,2,375439,375439
1001,Oita University,Japan,10.7–22.1,19.4,9.2,20.4,37.5,17.9,1,476580,476580
1001,Osaka Prefecture University,Japan,10.7–22.1,22.4,13.5,20.2,41.5,22.4,1,26718,26718
1001,University of Pardubice,Czech Republic,10.7–22.1,17.8,15.4,10.3,35.5,28.2,1,188602,188602
1001,Paris Nanterre University,France,10.7–22.1,23.8,16.8,13.9,34.7,50.9,19,364557,191621
1001,University of Peshawar,Pakistan,10.7–22.1,25.2,10.7,15.0,34.4,34.2,5,294294,344588
1001,Riga Technical University,Latvia,10.7–22.1,19.5,17.5,20.1,55.5,43.0,11,600376,233476
1001,Saitama University,Japan,10.7–22.1,19.1,13.0,22.8,36.4,31.7,2,61298,61298
1001,Sepuluh Nopember Institute of Technology,Indonesia,10.7–22.1,19.6,11.1,23.4,62.6,34.7,1,8927,8927
1001,University of Sfax,Tunisia,10.7–22.1,28.9,10.4,17.3,34.4,39.7,1,276726,276726
1001,Shinshu University,Japan,10.7–22.1,21.5,14.4,27.9,40.8,24.5,1,52249,52249
1001,Silesian University of Technology,Poland,10.7–22.1,16.4,9.3,31.7,36.9,16.0,1,17175,17175
1001,Silpakorn University,Thailand,10.7–22.1,15.5,8.3,13.6,39.9,27.5,3,243522,339721
1001,Slovak University of Technology in Bratislava,Slovakia,10.7–22.1,22.5,12.4,9.8,37.1,27.8,3,1035786,450169
1001,Sofia University,Bulgaria,10.7–22.1,20.7,9.6,14.2,35.3,43.7,20,130678,97517
1001,Sophia University,Japan,10.7–22.1,21.6,11.6,14.3,36.0,40.3,3,231596,223341
1001,University of South Africa,South Africa,10.7–22.1,22.1,19.1,15.0,35.2,43.7,13,561656,103299
1001,Srinakharinwirot University,Thailand,10.7–22.1,19.9,8.4,12.6,40.6,20.9,1,34450,34450
1001,Szent István University,Hungary,10.7–22.1,16.5,10.5,17.8,35.4,40.1,1,101854,101854
1001,Tamkang University,Taiwan,10.7–22.1,16.4,13.0,12.8,35.9,30.2,5,504063,349897
1001,Taras Shevchenko National University of Kyiv,Ukraine,10.7–22.1,23.5,9.8,8.3,35.0,31.5,18,694942,394964
1001,Technical University of Košice,Slovakia,10.7–22.1,20.8,12.5,10.2,44.0,27.6,2,185478,185478
1001,Thammasat University,Thailand,10.7–22.1,18.6,11.7,11.7,38.9,34.4,11,351081,396372
1001,Tokai University,Japan,10.7–22.1,18.9,9.7,20.8,36.8,23.4,2,171242,171242
1001,Tokyo University of Agriculture,Japan,10.7–22.1,16.0,9.8,10.5,36.4,19.1,1,275826,275826
1001,Tribhuvan University,Nepal,10.7–22.1,11.4,6.9,30.8,34.4,45.8,15,653637,568439
1001,Tunghai University,Taiwan,10.7–22.1,15.0,12.6,10.6,37.7,34.6,8,403204,382739
1001,Vilnius Gediminas Technical University,Lithuania,10.7–22.1,16.2,12.4,31.7,40.7,39.6,5,162070,132779
1001,Voronezh State University,Russian Federation,10.7–22.1,21.1,8.7,4.2,35.3,25.9,4,666460,554077
1001,Warsaw University of Technology,Poland,10.7–22.1,19.2,11.8,30.7,39.8,25.1,1,54426,54426
1001,University of West Bohemia,Czech Republic,10.7–22.1,18.1,15.7,16.7,39.1,29.8,1,128857,128857
1001,Yarmouk University,Jordan,10.7–22.1,19.4,8.3,7.1,35.6,48.7,1,1414389,1414389
1001,Yıldız Technical University,Turkey,10.7–22.1,15.4,12.9,23.0,45.6,21.1,1,28289,28289
1001,University of Zagreb,Croatia,10.7–22.1,17.8,12.9,25.3,37.4,33.0,55,348450,222049
